URI;CanÃ§Ã³;IntÃ¨rpret;Any de publicaciÃ³
spotify:track:2EoXcjhrWCk3zbaNpawl0i;Good Girls Don't Lie;Ruth Lorenzo;2018
spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga, Bradley Cooper;Shallow;2018
spotify:track:2o2PFz6MLkKXVDYlzDAVH7;Lola Indigo, Mala RodrÃ­guez;Mujer Bruja;2018
spotify:track:1B0BQaSRHxhI0AUlItY3LK;MALAMENTE - Cap.1: Augurio;ROSALÃA;2018
spotify:track:7fa9MBXhVfQ8P8Df9OEbD8;Maroon 5, Cardi B;Girls Like You;2018
spotify:track:0IEC7HphkAZGHlQr21KhHC;Natikillah;NATHY PELUSO;2018
spotify:track:5r8mGKhCDIVWb3AG4hm0l0;PIENSO EN TU MIRÃ - Cap.3: Celos;ROSALÃA;2018
spotify:track:3e9HZxeyfWwjeyPAMmWSSQ;thank u, next;Ariana Grande;2018
spotify:track:6FZDfxM3a3UCqtzo5pxSLZ;Without Me;Halsey;2018
spotify:track:6ocbgoVGwYJhOv1GgI9NsF;7 rings;Ariana Grande;2019
spotify:track:2Fxmhks0bxGSBdJ92vM42m;bad guy;Billie Eilish;2019
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr;Cruel Summer;Taylor Swift;2019
spotify:track:3PfIrDoz19wz7qK7tYeu62;Don't Start Now;Dua Lipa;2019
spotify:track:1COQTOb7d2zh3y8SOjsutx;El RelÃ¡mpago;Amaia;2019
spotify:track:3VIA1YG8r3xT9BGZlFRYzc;Game Over;Lola Indigo;2019
spotify:track:4piZ5m1vZGDkfyHga5U97m;Hookah;Bad Gyal;2019
spotify:track:2qG5sZ7Si6sdK74qLxedYM;J Balvin, El Guincho;Con Altura (amb ROSALÃA);2019
spotify:track:2K3bjojp1sCLdMMoO5lJ2p;MilionÃ ria;ROSALÃA;2019
spotify:track:51ltTOzVJWp3BUHzYrRxEa;Nada Sale Mal;Aitana;2019
spotify:track:2SCSAWTpFb0R3LEAFTwgW2;tarÃ ntula;Natalia Lacunza;2019
spotify:track:6UelLqGlWMcVH1E5c4H7lY;Watermelon Sugar;Harry Styles;2019
spotify:track:0OP1RzrglC008kj79Httv3;Zorra;Bad Gyal;2019
spotify:track:6Im9k8u9iIzKMrmV7BWtlF;34+35;Ariana Grande;2020
spotify:track:4R2kfaDFhslZEMJqAFNpdd;cardigan;Taylor Swift;2020
spotify:track:39LLxExYz6ewLAcYrzQQyP;Levitating;Dua Lipa;2020
spotify:track:3AzjcOeAmA57TIOr9zF1ZW;Physical;Dua Lipa;2020
spotify:track:3AzjcOeAmA57TIOr9zF1ZW;Physical;Dua Lipa;2020
spotify:track:35mvY5S1H3J2QZyna3TFe0;positions;Ariana Grande;2020
spotify:track:0lx2cLdOt3piJbcaXIV74f;willow;Taylor Swift;2020
spotify:track:3DarAbFujv6eYNliUTyqtz;Doja Cat, SZA;Kiss Me More;2021
spotify:track:5wANPM4fQCJwkGd4rN57mH;drivers license;Olivia Rodrigo;2021
spotify:track:4ZtFanR9U6ndgddUvNcjcG;good 4 u;Olivia Rodrigo;2021
spotify:track:5YtjgewpB55VaDbGw45uqB;Lil Nas X, Jack Harlow;INDUSTRY BABY;2021
spotify:track:1lMuQJHBznRfq7GdQrIQN4;MÃºsica Ligera;Ana Mena;2021
spotify:track:0V3wPSX9ygBnCm8psDIegu;Anti-Hero;Taylor Swift;2022
spotify:track:4Dvkj6JhhA12EX05fT7y2e;As It Was;Harry Styles;2022
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy;Bad Habit;Steve Lacy;2022
spotify:track:5pyoxDZ1PX0KxBxiRVxA4U;BREAK MY SOUL;BeyoncÃ©;2022
spotify:track:5xMw6qCcpd2gBXPGTegC4W;SOS;SZA;2022
spotify:track:7DSAEUvxU8FajXtRloy8M0;Flowers;Miley Cyrus;2023
spotify:track:2IGMVunIBsBLtEQyoI1Mu7;Paint The Town Red;Doja Cat;2023
spotify:track:1kuGVB7EU95pJObxwvfwKS;vampire;Olivia Rodrigo;2023
spotify:track:6dOtVTDdiauQNBQEDOtlAB;BIRDS OF A FEATHER;Billie Eilish;2024
spotify:track:6ouhsRJ7gExB7LCYjITk4Y;Diet Pepsi;Addison Rae;2024
spotify:track:1vLqigPHwiFnXsfrLMehV1;Espresso;Sabrina Carpenter;2024
spotify:track:42UBPzRMhH5yyz0EDPr6fr1;Manchild;Sabrina Carpenter;2024
spotify:track:142PiXzA84lmEw2RstFHFa;supernatural;Ariana Grande;2024
spotify:track:5xHgo5JN0wfsV41HnRaos5;The Giver;Chappell Roan;2024
spotify:track:5eXgqtg3T8Av0m1FUaGHex;The Life of a Showgirl(feat. Sabrina carpenter);Taylor Swift, Sabrina Carpenter;2025
spotify:track:42VUCXerQhGLF9NHvIbR;Tears;Sabrina Carpenter;2025
spotify:track:7hGCCQkdyF1MX6uk339uBS;What Was That;Lorde;
